,pad_size(mm),coupling_len(um),buffer(um),offset,target_freq(GHz),target_res_freq(GHz),Cj (fF),Lj (nH),Small_Wrap,TQx,TQy,TQ_mir,C_CPW_Qb,C_CPW_Qbp,C_Qb_g,Freq1(GHz),Freq2(GHz),Freq_EPR1(MHz),Chi1_1(MHz),Freq_EPR2(MHz),Chi2_1(MHz),Chi2_2(MHz)
10,0.214,20.0,210.0,0.055,5.000000000000001,9.80796717182623,4.410020111571073,10,True,0.09mm,0.5mm,False,-6.07035,-79.66846,-85.81883,5.21924291537425,7.44607414580304,5004.9323184154,224.07441688034058,7445.58763912076,0.8549550036411285,0.0009157763175964355
11,0.214,40.0,210.0,0.055,5.000000000000001,9.80796717182623,4.410020111571073,10,True,0.09mm,0.5mm,False,-7.16876,-79.0989,-86.35359,5.20730293634575,7.42121807131227,4994.104368487073,222.74349010248756,7420.507524142764,1.2472581100902558,0.0019608452129364013
12,0.23500000000000001,20.0,210.0,0.042,5.200000000000001,10.000703570960523,5.512525139463842,8,True,0.3425mm,0.46mm,False,-6.49659,-89.80694,-96.28947,5.49685243700703,7.6277952673065,5308.891551166806,195.12799739667892,7627.291651585691,0.8889249151134491,0.0011301045322418212
13,0.23500000000000001,40.0,210.0,0.042,5.200000000000001,10.000703570960523,5.512525139463842,8,True,0.3425mm,0.46mm,False,-7.61568,-89.23391,-96.83558,5.47401342824115,7.60231347979407,5287.734500428457,193.20650197122382,7601.601373584636,1.2569265214748382,0.002280047031402588
14,0.225,20.0,210.0,0.065,5.400000000000001,10.207242251737638,5.512525139463842,8,True,0.3375mm,0.46mm,False,-6.25821,-85.05127,-91.30007,5.63525789785366,7.83112784288832,5437.4150088517,205.58231411601255,7830.5985732940735,0.9322825760974883,0.00118202730178833
15,0.225,40.0,210.0,0.065,5.400000000000001,10.207242251737638,5.512525139463842,8,True,0.3375mm,0.46mm,False,-7.37004,-84.4784,-91.84297,5.61829406929348,7.80445300504389,5421.782347522589,204.01571925015068,7803.690475464031,1.342064083234787,0.0024676822090148923
16,0.20600000000000002,20.0,210.0,0.055,5.600000000000001,10.400021710830442,5.512525139463842,8,True,0.328mm,0.46mm,False,-5.80731,-76.0728,-81.92087,5.92966687384,8.02949925422941,5709.9967394518535,228.6868558787117,8028.831839601307,1.1497866558570862,0.001643495822906494
17,0.20600000000000002,40.0,210.0,0.055,5.600000000000001,10.400021710830442,5.512525139463842,8,True,0.328mm,0.46mm,False,-6.90355,-75.50016,-82.44585,5.91085665833974,8.00070966814958,5692.780204170096,226.79790037713812,7999.727697037896,1.6900720140151977,0.003579387077331543
18,0.193,20.0,210.0,0.064,5.800000000000002,10.606983437223217,5.512525139463842,8,True,0.3215mm,0.46mm,False,-5.4905,-70.08998,-75.60451,6.15224989393611,8.23792660035951,5915.270012467171,247.05794874573326,8237.157274113293,1.308052684206009,0.0019883750038146974
19,0.193,40.0,210.0,0.064,5.800000000000002,10.606983437223217,5.512525139463842,8,True,0.3215mm,0.46mm,False,-6.56792,-69.52233,-76.10937,6.13855513216617,8.20909538377644,5902.877775020505,245.44674939258002,8207.945683322072,1.9512425080413818,0.004454537809371948
