,pad_size(mm),coupling_len(um),buffer(um),offset,target_freq(GHz),target_res_freq(GHz),Freq1(GHz),Freq2(GHz),Freq_EPR1(MHz),Chi1_1(MHz),Freq_EPR2(MHz),Chi2_1(MHz),Chi2_2(MHz)
29,0.131,10.0,211.0,0.48,5.800000000000002,8.200000000000001,6.24176150248059,8.15779044833476,5830.8919255969795,438.32248840745734,8156.446305336757,2.034432454931259,0.002961071001052856
30,0.25,20.0,187.0,0.345,4.0,6.4,4.23178016943835,6.38978774222764,4047.9732089777394,192.58476575402068,6389.355623487972,0.7763495543003082,0.000864612096786499
31,0.23500000000000001,20.0,199.0,0.4,4.2,6.6,4.39003880598244,6.5679829684624,4191.773848949376,208.0827214012928,6567.536908834482,0.7952992025222778,0.0008452716274261475
32,0.22,20.0,202.0,0.42,4.4,6.800000000000001,4.56699485757682,6.76664872082381,4351.897622504141,226.1391909247551,6766.150019046366,0.8812817759399414,0.0009621372661590575
33,0.2,20.0,205.0,0.413,4.6000000000000005,7.0,4.83455818115588,6.95654307778395,4592.651707905751,254.9592469338436,6955.914679892302,1.0849252108421326,0.0013169731254577637
34,0.182,20.0,206.0,0.41,4.800000000000001,7.200000000000001,5.11565183751018,7.17228960753627,4843.797593972525,287.2460558508873,7171.487630312435,1.349733472881317,0.001844321060180664
35,0.17200000000000001,20.0,205.0,0.421,5.000000000000001,7.4,5.2939133960581,7.35531351918625,5002.1020957521005,308.8131785497112,7354.397944270832,1.5221192617473602,0.0022019676570892333
36,0.165,20.0,206.0,0.451,5.200000000000001,7.600000000000001,5.42271711027469,7.55401089994184,5115.9700558328905,324.9892371779499,7553.055447153802,1.5857791915740966,0.0022750191516876218
37,0.15,20.0,207.0,0.447,5.400000000000001,7.800000000000001,5.74145830765198,7.75543740319848,5396.2057382770845,366.7464000871448,7754.156205113652,2.0476112502174377,0.00345223490524292
38,0.138,20.0,209.0,0.457,5.600000000000001,8.000000000000002,6.02954026184084,7.95804684578148,5647.3798270035195,406.8941469614086,7956.418548914217,2.512035690849304,0.004797609941482543
39,0.131,20.0,211.0,0.48,5.800000000000002,8.200000000000001,6.22132805951062,8.13845475821362,5813.469429088979,434.9033977059612,8136.60773660984,2.7986429209861754,0.0056398540115356445
