,pad_size(mm),coupling_len(um),buffer(um),offset,target_freq(GHz),target_res_freq(GHz),Freq1(GHz),Freq2(GHz),Freq_EPR1(MHz),Chi1_1(MHz),Freq_EPR2(MHz),Chi2_1(MHz),Chi2_2(MHz)
10,0.196,5.0,206.0,0.4,4.6000000000000005,7.0,4.91011297532135,6.97495694239563,4660.258057233183,263.6672252968273,6974.550051665693,0.6958160577697754,0.0005279261264801025
11,0.196,10.0,206.0,0.4,4.6000000000000005,7.0,4.90547119756512,6.96726873275759,4656.124802897747,263.0822119812641,6966.795157712119,0.8097062863254547,0.0007164385681152343
12,0.184,2.0,206.0,0.4,4.800000000000001,7.200000000000001,5.10616683231132,7.13996210132961,4835.234701560001,286.4378048270759,7139.5315448517895,0.7241141765727996,0.0005330020561218261
13,0.184,5.0,206.0,0.4,4.800000000000001,7.200000000000001,5.10005366852753,7.13399346742888,4829.801415241393,285.68138834801675,7133.520878865484,0.7950661615715027,0.0006440463409423827
14,0.184,10.0,206.0,0.4,4.800000000000001,7.200000000000001,5.09496755128973,7.12518317051587,4825.301598645652,285.0070162920761,7124.630538870464,0.929496904045105,0.0008823107452392578
15,0.17,2.0,202.0,0.4,5.000000000000001,7.4,5.34881639489099,7.38749892943472,5050.5317414950505,316.02705335162926,7386.990245597543,0.8410581745376586,0.0006601480503082275
16,0.17,5.0,202.0,0.4,5.000000000000001,7.4,5.34828876085174,7.38228140612478,5050.094057916149,315.9017675142021,7381.712089669277,0.9407130232486725,0.0008264430313110351
17,0.17,10.0,202.0,0.4,5.000000000000001,7.4,5.34064886463566,7.37222368379191,5043.370739161703,314.8616335384693,7371.552999155813,1.1082526382160187,0.0011505268001556397
18,0.155,2.0,203.0,0.4,5.200000000000001,7.600000000000001,5.65816060905613,7.59219080849408,5323.02173430824,355.9952089363994,7591.531894106819,1.0501519433937072,0.0009377129592895507
19,0.155,5.0,203.0,0.4,5.200000000000001,7.600000000000001,5.65322391495002,7.58610538781659,5318.72016641644,355.2759244943981,7585.369840503419,1.1723793978767394,0.0011708342418670654
20,0.155,10.0,203.0,0.4,5.200000000000001,7.600000000000001,5.64825472905655,7.57729439557448,5314.420134197181,354.4949360111942,7576.41655660242,1.3985970431632995,0.0016699819984436035
21,0.14,2.0,205.0,0.4,5.400000000000001,7.800000000000001,6.0134301538733,7.79483975561998,5633.130561686251,405.12119917850873,7793.943729698068,1.3538707589759826,0.0014195469932556152
22,0.14,5.0,205.0,0.4,5.400000000000001,7.800000000000001,6.00675043426946,7.78825076974255,5627.369271626284,404.09113740980337,7787.245611377355,1.5193968061237335,0.001791674331665039
23,0.14,10.0,205.0,0.4,5.400000000000001,7.800000000000001,5.99219889439365,7.77885985828829,5614.798947304069,401.878747927618,7777.665634265776,1.8084807175846098,0.0025485771408081054
24,0.132,2.0,200.0,0.4,5.600000000000001,8.000000000000002,6.22499293736875,8.00958492353389,5816.307738743481,436.0551927770271,8008.548854549187,1.5368024747695923,0.0017205077514648437
25,0.132,5.0,200.0,0.4,5.600000000000001,8.000000000000002,6.21983304600603,8.00373746003542,5811.913990452055,435.1885456908188,8002.564778688056,1.7396607039394378,0.002208542152404785
26,0.132,10.0,200.0,0.4,5.600000000000001,8.000000000000002,6.21025823966817,7.99282805717328,5803.750860437276,433.5934064070911,7991.412642325455,2.100253761138916,0.003229372381210327
27,0.125,2.0,190.0,0.4,5.800000000000002,8.200000000000001,6.42999187880147,8.31208622582913,5992.729502527595,467.21370545434377,8310.934111615943,1.7067897307128905,0.001983847270965576
28,0.125,5.0,190.0,0.4,5.800000000000002,8.200000000000001,6.42379239259811,8.30547612004634,5987.470073903157,466.1558107500286,8304.174704869476,1.9284556498088836,0.002537513391494751
29,0.125,10.0,190.0,0.4,5.800000000000002,8.200000000000001,6.41372273154516,8.29496354327219,5978.937631560653,464.41993028165433,8293.393503639318,2.3274547366161347,0.0037078885498046874
